episode,rewards,q_values,td_errors,path_lengths,fidelities,success
0,1.908944159882701,0,0.0,10,0.9139080338458733,0
1,1.9807965484734744,0,0.0,10,0.9323732018931647,0
2,67.74911085391811,0,0.0,5,0.9195200396565114,1
3,67.08891495427778,0,0.0,4,0.8995010197589676,1
4,64.7146123600338,0,0.0,10,0.8870882538986254,1
5,66.85783521585665,0,0.0,2,0.8815439720986687,1
6,64.38318109730743,0,0.0,9,0.8739954181336137,1
7,68.09580007342493,0,0.0,4,0.9208041191822152,1
8,71.09225829476388,0,0.0,6,0.992103917855681,1
9,69.95540645103524,0,0.0,3,0.9536614007112613,1
10,1.975849233510738,0,0.0,10,0.9311072302303501,0
11,1.987623996040443,0,0.0,10,0.9341169776065732,0
12,66.2950002735829,0,0.0,5,0.8888759687955035,1
13,68.31912751857905,0,0.0,7,0.9426102391997352,1
14,1.085137842026775,0,0.0,6,0.9253156272897368,0
15,2.229752797504404,0,0.0,10,0.9949942576213965,0
16,64.82603312838296,0,0.0,9,0.8832022837353726,1
17,64.97423909286293,0,0.0,6,0.8670369452954755,1
18,67.0260300840463,0,0.0,5,0.9043824555701112,1
19,68.06885096957157,0,0.0,3,0.9141869726933023,1
20,68.79623343786191,0,0.0,7,0.9521361122532195,1
21,64.2640662026672,0,0.0,4,0.837524253697312,1
22,61.41671904312203,0,0.0,8,0.8028946514805269,1
23,65.06683176143255,0,0.0,5,0.8623415431705121,1
24,1.7969429025847103,0,0.0,10,0.8846560401858372,0
25,66.35444344588716,0,0.0,10,0.9201608332914587,1
26,2.155630447595858,0,0.0,10,0.9764945229062696,0
27,65.86522788797001,0,0.0,8,0.8985207239734384,1
28,65.3732101926862,0,0.0,7,0.8820368230121766,1
29,66.38539451441795,0,0.0,3,0.8777999215119509,1
30,68.62204036369971,0,0.0,9,0.9592576018331848,1
31,67.65380506639139,0,0.0,2,0.8989953234541772,1
32,69.09470255100938,0,0.0,9,0.9684630041831992,1
33,66.51887166296375,0,0.0,10,0.9234224686025592,1
34,65.56445590579679,0,0.0,4,0.8664792708277474,1
35,1.6988300301717234,0,0.0,10,0.8586608031672663,0
36,1.7390880279607104,0,0.0,10,0.8694106145572029,0
37,1.8283317002369124,0,0.0,10,0.8929660116959812,0
38,1.8067025933924716,0,0.0,10,0.8873055399713842,0
39,66.9309890677004,0,0.0,6,0.9084876272293989,1
40,66.09827437899239,0,0.0,10,0.9150627311149865,1
41,1.8136916240265093,0,0.0,10,0.8891346766693585,0
42,1.831778749582514,0,0.0,10,0.8938506950492573,0
43,66.17199126421707,0,0.0,6,0.8925857778533425,1
44,65.39126754429857,0,0.0,8,0.8887084145348189,1
45,1.6826378630422836,0,0.0,10,0.8544772384084673,0
46,66.71194678804409,0,0.0,3,0.8849493448808078,1
47,67.33860110925067,0,0.0,10,0.9395948423569883,1
48,62.17846405058814,0,0.0,9,0.8270081202525913,1
49,66.2860832926021,0,0.0,3,0.8756171023025221,1
50,63.608095137686334,0,0.0,3,0.8150666619922409,1
51,70.40928612947988,0,0.0,10,0.9983043111051064,1
52,69.9377976647629,0,0.0,10,0.9894665691833893,1
53,71.11736466553585,0,0.0,3,0.977344618798231,1
54,68.23478865784716,0,0.0,7,0.9409125262089476,1
55,72.1987639686969,0,0.0,3,0.998984008082311,1
56,1.7065982499384376,0,0.0,10,0.8607572541703865,0
57,66.25417050296812,0,0.0,10,0.9181591952673605,1
58,2.055444976951113,0,0.0,10,0.9513550038493652,0
59,69.82467536969723,0,0.0,2,0.9452965190633082,1
60,68.24527011716687,0,0.0,7,0.9411283077775998,1
61,67.29998156580746,0,0.0,9,0.9333494793466441,1
62,69.09888342721895,0,0.0,2,0.9300187165299317,1
63,70.34462492561714,0,0.0,8,0.9874925623016058,1
64,63.95869058085508,0,0.0,6,0.844913691711775,1
65,72.19921735637834,0,0.0,3,0.9989930021960935,1
66,1.8944165182074644,0,0.0,10,0.9101461418415442,0
67,68.02934967794732,0,0.0,7,0.9367877160239533,1
68,67.2613067276574,0,0.0,3,0.8968760763439008,1
69,65.3059458960753,0,0.0,4,0.8607829092776423,1
70,69.85840927557024,0,0.0,9,0.9831129976359979,1
71,70.69430206707948,0,0.0,9,0.9989509441610537,1
72,65.60969546379955,0,0.0,2,0.8536234743742893,1
73,67.02201444630197,0,0.0,2,0.8851655043715426,1
74,66.73794310535173,0,0.0,3,0.8855165414031947,1
75,63.77137381503666,0,0.0,5,0.8336586033908124,1
76,62.324713350410796,0,0.0,2,0.7765162772798782,1
77,2.0972336379064895,0,0.0,10,0.9619075684425901,0
78,67.37862346389034,0,0.0,8,0.9293208227974848,1
79,67.80928397684625,0,0.0,6,0.9266244807919816,1
80,71.19547385066,0,0.0,7,0.9989556516542488,1
81,65.40043710107031,0,0.0,5,0.8696103402403712,1
82,67.33156116500739,0,0.0,6,0.9167941233935876,1
83,69.73060183106797,0,0.0,3,0.9490255288695673,1
84,67.03555195291213,0,0.0,5,0.904583060535022,1
85,66.49185605396313,0,0.0,10,0.9228976789449355,1
86,65.77257206269874,0,0.0,2,0.857306914606306,1
87,1.900143386358038,0,0.0,10,0.9111955656320366,0
88,69.69550178692069,0,0.0,5,0.9593352929161152,1
89,2.1924425500423395,0,0.0,10,0.9857307254887248,0
90,70.8946888829579,0,0.0,8,0.9979554094988528,1
91,66.74773175765813,0,0.0,5,0.8984992852495018,1
92,1.1403385293487545,0,0.0,8,0.7944235932716528,0
93,68.17391029461416,0,0.0,8,0.9450634750531367,1
94,70.68567103689915,0,0.0,6,0.9840466036872568,1
95,1.9688171697799364,0,0.0,9,0.9894548982800009,0
96,1.9913431170110039,0,0.0,10,0.9335760753201198,0
97,69.61637954078083,0,0.0,7,0.9682237354585597,1
98,1.2684976354199766,0,0.0,10,0.7370534761726171,0
99,68.63488608508412,0,0.0,5,0.9378013072022283,1
100,1.9370520289010078,0,0.0,10,0.9206665840825534,0
101,59.96601794352812,0,0.0,4,0.7358303454600955,1
102,68.31994355363754,0,0.0,7,0.9426255407399667,1
103,1.9955496183097652,0,0.0,9,0.9973485260473627,0
104,64.81725595921276,0,0.0,10,0.8891831435825231,1
105,63.92520914072729,0,0.0,7,0.8510766783235593,1
106,66.33512415789421,0,0.0,4,0.8832915366340764,1
107,71.26595790542811,0,0.0,2,0.9750705674659749,1
108,1.820635221665379,0,0.0,10,0.8889195129813809,0
109,71.28546067441998,0,0.0,2,0.9754684956052518,1
110,2.1553267449879643,0,0.0,10,0.9760505868243506,0
111,2.10683218546701,0,0.0,10,0.9637127290173121,0
112,68.55157029043347,0,0.0,6,0.9417401836699021,1
113,69.90440322511122,0,0.0,8,0.9790371746536838,1
114,1.8919229676543359,0,0.0,10,0.9094930941046233,0
115,1.8900547541656247,0,0.0,10,0.9089500642972645,0
116,68.52629943381753,0,0.0,4,0.9297954397646301,1
117,62.10446762202082,0,0.0,9,0.8253949486241484,1
118,1.7319372493884881,0,0.0,8,0.9942243667490352,0
119,1.7137137485471476,0,0.0,8,0.9884108881416057,0
