episode,rewards,q_values,td_errors,path_lengths,fidelities,success
0,69.34111921319978,0,0.9211382269859314,3,0.9409511941971038,1
1,65.96173908836461,0,1.1149879395961761,5,0.8817370590496835,1
2,68.06257963607757,0,0.845339169104894,7,0.9374566748176322,1
3,62.904274394343894,0,0.7304995258649191,4,0.8064038987280296,1
4,1.4805019153392385,0,0.6647833817534976,10,0.7995957117003657,0
5,68.64722078275702,0,0.5743129923939705,9,0.9598047966537695,1
6,0.9789837122369676,0,0.5457540810108185,6,0.8755938283061071,0
7,1.839204662551467,0,0.6080401109324561,10,0.8953046788108435,0
8,65.74863146740114,0,0.8752423922220866,4,0.8705200930860656,1
9,65.65129800753178,0,0.5231286585330963,3,0.8615616636399519,1
10,65.76467035914385,0,0.7266752123832703,4,0.8708712723823465,1
11,2.141039989142014,0,0.563728799422582,10,0.9728873850065446,0
12,62.730795283106474,0,0.5002128134171168,10,0.8457651500601764,1
13,71.69780280569401,0,0.5019563212990761,5,0.9989830072281789,1
14,59.84538005639783,0,0.514635854297214,10,0.7827902077333242,1
15,64.22301025520426,0,0.4008377194404602,2,0.8217511431112231,1
16,63.057648055775736,0,0.4061758667230606,3,0.8021906120062567,1
17,71.1885094093642,0,0.44827039539813995,7,0.9988171542418178,1
18,70.72616754368725,0,0.5465323626995087,5,0.9798985302006894,1
19,69.55804148129916,0,0.4935252368450165,6,0.9619281395834677,1
20,62.78237866156505,0,0.41094574332237244,2,0.787602492806495,1
21,1.9556077385534978,0,0.5225300788879395,10,0.9258996523944254,0
22,67.24362183610066,0,0.4568469822406769,2,0.8900355660263557,1
23,63.766184116063144,0,0.3310260623693466,3,0.8187359606160574,1
24,65.95925221558758,0,0.42606043815612793,3,0.868402384710995,1
25,1.6559802169352849,0,0.46863965027862126,10,0.846777864549778,0
26,62.16649041007971,0,0.48608803004026413,9,0.8267478410546615,1
27,66.24639021366487,0,0.5264614356888665,10,0.9178316360488532,1
28,67.99515059597334,0,0.7846579551696777,3,0.9126174795249091,1
29,1.1900817506707735,0,0.49409978091716766,7,0.8816171526063592,0
30,65.32714829683796,0,0.7688618501027426,4,0.8612510634965097,1
31,60.50864143224703,0,0.31451308727264404,2,0.7312910228939995,1
32,61.28661454958408,0,0.4893297602732976,7,0.792321111860928,1
33,67.46729085834097,0,0.5422353049119314,10,0.9421060828770718,1
34,1.4259772103123571,0,0.5904727578163147,10,0.7840068950792718,0
35,62.66064744206105,0,0.5394126049109867,8,0.8304683397781606,1
36,1.7292197657410189,0,0.6049981017907461,10,0.8661737370911057,0
37,59.0945631196085,0,0.5667415261268616,2,0.6945782953151237,1
38,65.4018090725157,0,0.8895925283432007,2,0.8489042058458898,1
39,1.5027767839272017,0,0.5302319592899747,10,0.8057056835528894,0
40,61.67131536064536,0,0.5501346945762634,6,0.7933872633152232,1
41,59.258307119498006,0,0.5825370947519938,4,0.7180706325275704,1
42,67.98689204575115,0,0.5987166232532926,10,0.9521925772847738,1
43,65.04428549169361,0,0.7298285365104675,3,0.847953308767043,1
44,58.64173821157978,0,0.5111229181289673,6,0.7209963530291396,1
45,1.9350919142570249,0,0.6075918442673154,10,0.920310831626785,0
46,65.69050715838983,0,0.5747693479061127,3,0.8624344584912063,1
47,1.3226056706057185,0,0.5139423939916823,10,0.7553432032829385,0
48,1.0316638307518928,0,0.6174355745315552,6,0.9003604385722968,0
49,62.121493265477966,0,0.6095835790038109,5,0.7960002218995613,1
50,1.9906526220119998,0,0.51212963130739,10,0.9312013450953847,0
51,67.18608103362176,0,0.7444403320550919,3,0.8952502248732664,1
52,61.289057211450164,0,0.5348673297299279,10,0.8147520089001944,1
53,67.52571454316626,0,1.0529422760009766,2,0.8962049237192767,1
54,67.47513545158064,0,0.4164590537548065,3,0.9014850533638545,1
55,1.5388950451757806,0,0.5235077804989285,10,0.8148268060530665,0
56,66.9995341804223,0,0.4486094315846761,4,0.8975012450413298,1
57,1.6556626380881334,0,0.5105820231967502,10,0.8461113587371902,0
58,55.71801427905531,0,0.4678942561149597,9,0.6760243015865648,1
59,65.89942389650771,0,0.5205835103988647,8,0.8992174533600149,1
60,58.83398246365802,0,0.4530023733774821,4,0.707263645155468,1
61,70.24753287501044,0,0.5063988268375397,3,0.9596590770772747,1
62,0.9898264398654147,0,0.5145101249217987,10,0.6567492068141336,0
63,1.4462372793806166,0,0.612424459722307,10,0.7857794682076562,0
64,64.02815909365283,0,0.6896694079041481,5,0.8394037266738591,1
65,1.5699235908682416,0,0.69699736767345,10,0.8240894187877977,0
66,64.49212761177337,0,0.6393687228361765,7,0.8632991049896457,1
67,59.73765762994999,0,0.5290376022458076,5,0.7390855328548112,1
68,67.40879465680032,0,0.6904075779020786,9,0.9355075155609208,1
69,67.10598955581987,0,0.5632197856903076,3,0.8935163609491593,1
70,1.2145779185606227,0,0.5842694171837398,8,0.8217766987312686,0
71,1.1795229429757457,0,0.559985425737169,10,0.7139309549660191,0
72,2.0807859943177567,0,0.5165111687448289,10,0.957147859913878,0
73,66.76797075336891,0,0.544175942738851,7,0.9111082965362782,1
74,70.18013600727981,0,0.40980331103007,4,0.9637192030846954,1
75,0.685566695763107,0,0.6170526027679444,6,0.7296932847466373,0
