episode,rewards,q_values,td_errors,path_lengths,fidelities,success
0,66.3733718695813,0,0.0,2,0.8707892725570964,1
1,65.08837318863455,0,0.0,10,0.8947107438969131,1
2,63.40230318030542,0,0.0,3,0.8102710356437831,1
3,65.41553457991547,0,0.0,10,0.9013418781490837,1
4,66.0761019043006,0,0.0,10,0.914620331219201,1
5,1.3446156163706524,0,0.0,7,0.9415683912530264,0
6,65.9694400466466,0,0.0,6,0.888305018224539,1
7,1.7853407124863598,0,0.0,10,0.8816631316883662,0
8,61.706195544727606,0,0.0,8,0.8093682999055487,1
9,69.89199729461792,0,0.0,2,0.9467037497772355,1
10,63.20119737993092,0,0.0,6,0.8281201367244272,1
11,64.27259939684686,0,0.0,6,0.8517942741850435,1
12,69.5550404450674,0,0.0,9,0.9773130261167385,1
13,64.67540726309781,0,0.0,6,0.8605722491538452,1
14,1.619797580047096,0,0.0,10,0.8376056529324096,0
15,1.835731705611742,0,0.0,10,0.8924500007333722,0
16,65.47434070300841,0,0.0,6,0.8777624462097549,1
17,67.3451377527562,0,0.0,3,0.898685212114822,1
18,0.7023727810684335,0,0.0,5,0.8268353852375941,0
19,1.83981830485855,0,0.0,10,0.8954059602536736,0
20,67.79595567202308,0,0.0,2,0.9020841043956619,1
21,60.538681207108205,0,0.0,10,0.7982463084861101,1
22,1.8582762382008224,0,0.0,10,0.8992908802700741,0
23,1.711362917196886,0,0.0,9,0.9180689388637263,0
24,1.2940317957821879,0,0.0,7,0.9207319973725415,0
25,1.0279574756712475,0,0.0,8,0.7517924353726653,0
26,67.02720942343683,0,0.0,6,0.9104883531864822,1
27,69.07210333808607,0,0.0,6,0.9522261800455488,1
28,0.8592886294931195,0,0.0,6,0.8177086997374123,0
29,1.3096972853741928,0,0.0,10,0.7512464751568964,0
30,2.063108978796296,0,0.0,10,0.953000997707773,0
31,66.2029287760061,0,0.0,8,0.9053996872808155,1
32,71.66606591861665,0,0.0,5,0.9983643916322672,1
33,1.8544916348143836,0,0.0,10,0.8982111272613386,0
34,1.8818225651644325,0,0.0,10,0.9068458295681372,0
35,64.10352345230139,0,0.0,5,0.8410790974571354,1
36,71.33769868113943,0,0.0,3,0.9817844420191705,1
37,67.84177736847771,0,0.0,6,0.9272724986124667,1
38,64.1377262075909,0,0.0,10,0.8752167416759705,1
39,67.10754862617755,0,0.0,8,0.9238573888420369,1
40,57.287341420282694,0,0.0,7,0.6964130417985207,1
41,59.79615119568047,0,0.0,8,0.7658329810647148,1
42,60.431520250380125,0,0.0,2,0.7293242632136744,1
43,2.054180801161598,0,0.0,10,0.9509227892342605,0
44,68.72099181377054,0,0.0,5,0.9395449283907403,1
45,0.5491857337198129,0,0.0,5,0.730167796575622,0
46,71.18960183235102,0,0.0,7,0.998838590329852,1
47,54.87722885090014,0,0.0,10,0.6644943590602215,1
48,0.3865497549624567,0,0.0,4,0.708343380800592,0
49,54.63632258315977,0,0.0,10,0.6584080439659039,1
50,58.653927848266676,0,0.0,5,0.7121085220257801,1
51,68.3647806210436,0,0.0,7,0.9433311845971888,1
52,62.59241906248869,0,0.0,8,0.8289634424336777,1
53,2.1219198254178595,0,0.0,10,0.9673596477333272,0
54,1.5835274659235246,0,0.0,10,0.8273113077518501,0
55,58.2119181025405,0,0.0,4,0.691197491154764,1
56,71.69756657305774,0,0.0,5,0.9989784519638852,1
57,1.0221045228065988,0,0.0,10,0.6673903856065693,0
58,67.09983803595965,0,0.0,4,0.8997154467208079,1
59,1.028734192239636,0,0.0,9,0.707600810747644,0
60,68.92718790800605,0,0.0,4,0.938108135610428,1
61,67.60708730164849,0,0.0,9,0.9394252968193623,1
62,55.82760714790807,0,0.0,9,0.6787422025023141,1
63,61.139069208655705,0,0.0,8,0.7966037980315289,1
64,63.59874592155019,0,0.0,3,0.8148492624196665,1
65,68.83242913837711,0,0.0,10,0.9684802306676585,1
66,1.3317805643802387,0,0.0,10,0.757094700388397,0
67,0.8158934810359013,0,0.0,6,0.7961576943041657,0
68,63.57876699504234,0,0.0,5,0.8293280678876681,1
69,69.47029620358242,0,0.0,6,0.9601802499286002,1
70,68.41406375238701,0,0.0,6,0.9389543627512464,1
71,66.14432898037496,0,0.0,4,0.8791530012507278,1
72,65.08312094510572,0,0.0,8,0.882276426856714,1
73,64.66988147529449,0,0.0,8,0.8736123270182704,1
74,1.8694811515155516,0,0.0,10,0.9036738822590142,0
75,63.834484000724444,0,0.0,2,0.8126496130127852,1
76,1.1535962627581782,0,0.0,8,0.799392454911458,0
77,1.928550981741441,0,0.0,10,0.9189388602642625,0
78,1.6088125940197755,0,0.0,10,0.8346446316217709,0
79,2.013040976480744,0,0.0,10,0.9404572759697406,0
80,1.2714094625887018,0,0.0,7,0.9131589780187519,0
81,67.5147657353987,0,0.0,3,0.9023372497133592,1
82,64.72108952741428,0,0.0,6,0.8615580645386055,1
83,67.0337078983532,0,0.0,4,0.8983216249035995,1
84,1.6936015577980308,0,0.0,10,0.857405334089998,0
85,70.49690640786238,0,0.0,4,0.9701147592527232,1
86,1.5143261412230196,0,0.0,10,0.8087604083539032,0
87,1.3706479797322644,0,0.0,8,0.8753239364451209,0
88,70.07785168659791,0,0.0,2,0.9505801032542125,1
89,69.22857656892243,0,0.0,5,0.9499017440550607,1
90,2.222588315045508,0,0.0,10,0.9924096597324585,0
91,1.3510569573729718,0,0.0,10,0.7619992523616392,0
92,67.30668131673586,0,0.0,6,0.9162561063641038,1
93,67.4962694503511,0,0.0,5,0.9141467130332819,1
94,61.25640330962527,0,0.0,6,0.7837733005653371,1
95,69.88341299604473,0,0.0,8,0.9786305300264106,1
96,66.94344106082036,0,0.0,7,0.9146737171431976,1
97,1.5165540906885426,0,0.0,10,0.8094166824862337,0
98,1.9846046494280638,0,0.0,10,0.933277922322151,0
99,0.9538015626105747,0,0.0,6,0.863372856490681,0
100,67.64600331915481,0,0.0,4,0.9113352772699597,1
101,66.42121009673409,0,0.0,10,0.9214814258161012,1
102,68.06613457762614,0,0.0,10,0.9537537593921367,1
103,1.2764204868734756,0,0.0,9,0.786475316707547,0
104,70.25905391049214,0,0.0,5,0.9706231990963591,1
105,67.23292070018101,0,0.0,7,0.9206382129742675,1
106,1.719317016177783,0,0.0,9,0.9204260705893759,0
107,68.43749284624047,0,0.0,5,0.9337531024497521,1
108,67.24942235209888,0,0.0,3,0.8966193727736659,1
109,70.78652574661432,0,0.0,4,0.9759294104016146,1
110,69.0308523009402,0,0.0,6,0.9513657403902465,1
111,60.45156163337438,0,0.0,7,0.7730359906616958,1
112,59.39048987524774,0,0.0,9,0.7644841527591183,1
113,70.87402173597057,0,0.0,2,0.9670460495801005,1
114,67.31787269742068,0,0.0,9,0.9337059624456114,1
115,56.62370147170298,0,0.0,7,0.6795995372892699,1
116,1.9645935436556168,0,0.0,10,0.9280672302929411,0
117,2.0521309274903836,0,0.0,10,0.9491730911680991,0
118,64.1230176199457,0,0.0,3,0.8269727887884014,1
119,64.55458653012276,0,0.0,4,0.8440060849473273,1
120,70.745485934639,0,0.0,5,0.9802839276668712,1
121,68.90299805285338,0,0.0,8,0.9591322437111477,1
122,63.38126349661274,0,0.0,7,0.8392212740690325,1
123,72.17332968692564,0,0.0,3,0.9984751559164047,1
124,55.97212111531012,0,0.0,7,0.6627479683506586,1
125,62.51484991784532,0,0.0,6,0.8126723495861726,1
126,0.9695625663282336,0,0.0,6,0.8711141660577373,0
127,64.02899456053778,0,0.0,5,0.8394224061828629,1
128,1.8096201835022852,0,0.0,10,0.8871540151099174,0
129,68.44485095972014,0,0.0,5,0.933815695157874,1
130,1.1624289216637727,0,0.0,7,0.8691662070284805,0
131,65.38828816029168,0,0.0,8,0.8886463901964625,1
132,1.8126153872483288,0,0.0,10,0.8888090997887376,0
133,61.123779858129595,0,0.0,8,0.7962964509523802,1
134,0.8583486338608766,0,0.0,5,0.9195629067307628,0
135,1.5816096836699076,0,0.0,10,0.8271829983914513,0
136,1.4151533498258213,0,0.0,10,0.781445304559159,0
137,66.0895140327047,0,0.0,2,0.8644396357072173,1
138,63.036035804870494,0,0.0,8,0.8386592566491333,1
139,64.52495707641391,0,0.0,4,0.8433649844556417,1
140,66.10732358304804,0,0.0,6,0.891204445854616,1
141,1.5396331654738735,0,0.0,10,0.8147889933017851,0
142,69.96484346568587,0,0.0,7,0.9751590787444979,1
143,63.02709479355835,0,0.0,9,0.845327514660031,1
144,57.75601381394382,0,0.0,4,0.6792503137710266,1
145,65.62955697010372,0,0.0,8,0.8936526273027989,1
146,1.9730062648003888,0,0.0,10,0.9284044173184165,0
147,2.225122074670439,0,0.0,10,0.9933805485760712,0
148,63.96435418163184,0,0.0,6,0.8450373616687549,1
149,65.2785458311134,0,0.0,6,0.8735806038190356,1
150,65.13410603858092,0,0.0,9,0.8894676800770089,1
151,59.29825255830665,0,0.0,9,0.7624198052209032,1
152,1.8337617996796785,0,0.0,10,0.8943267582342511,0
153,1.3692750099539732,0,0.0,9,0.8155745606149809,0
154,1.4234819125551572,0,0.0,10,0.7837006248540601,0
155,59.87720625869053,0,0.0,5,0.7425007535471068,1
156,1.3763983934405675,0,0.0,10,0.7701852643328188,0
157,1.0779699013885122,0,0.0,7,0.836590696354974,0
158,56.31013471592926,0,0.0,5,0.6510251021479715,1
159,57.460279873682275,0,0.0,3,0.6610173378123937,1
160,1.1770090806478826,0,0.0,8,0.808501483023315,0
161,1.386494508901515,0,0.0,10,0.7700881014291814,0
162,56.1640900472204,0,0.0,6,0.6575663276093825,1
163,1.5779321783356395,0,0.0,10,0.8253588365271041,0
164,1.1059250856672311,0,0.0,10,0.6922595095344047,0
165,0.6901173762872291,0,0.0,5,0.8194266897294734,0
166,1.5849374677643921,0,0.0,8,0.9468742281065419,0
167,62.50494546327575,0,0.0,4,0.7970885640441469,1
168,67.22418198116395,0,0.0,3,0.8960739876981935,1
169,1.6155748627103457,0,0.0,10,0.8364222686112686,0
170,60.16014583422008,0,0.0,8,0.7742963304783026,1
171,1.467469438122859,0,0.0,10,0.7959016535380588,0
172,66.38826539451574,0,0.0,9,0.9151104834790973,1
173,71.69224680640131,0,0.0,5,0.9988739108003521,1
174,1.2810218852594797,0,0.0,9,0.7866382580993708,0
175,1.3245027358469335,0,0.0,10,0.7551563300850346,0
176,1.2372379055421163,0,0.0,10,0.7303041283291773,0
177,59.648293599299926,0,0.0,7,0.7541323219853511,1
178,1.5317524212302809,0,0.0,10,0.8129049151200202,0
179,1.4374755944555568,0,0.0,10,0.7874559578832476,0
180,62.42446084157634,0,0.0,5,0.8030152137299307,1
181,60.87615917139838,0,0.0,5,0.7666611285156215,1
182,56.98898308899564,0,0.0,7,0.6887950693371717,1
183,64.81232986799625,0,0.0,2,0.8354107487029102,1
184,62.943639057659986,0,0.0,5,0.8149304767973956,1
185,0.7776066541983346,0,0.0,8,0.6604244337870229,0
186,66.5716568529705,0,0.0,2,0.8752034672220509,1
187,1.1681748791875701,0,0.0,10,0.710709484028392,0
188,57.32088527820606,0,0.0,3,0.6572203037568828,1
189,1.295068296590979,0,0.0,10,0.7445815458392903,0
190,0.7069801960547858,0,0.0,6,0.7409792633694002,0
191,63.81353188382234,0,0.0,2,0.812156577059671,1
192,65.62743230465473,0,0.0,8,0.8935871109040636,1
193,64.69442573169633,0,0.0,5,0.8541468301589048,1
194,68.73192876889945,0,0.0,2,0.9222185966981468,1
195,1.2898583756852664,0,0.0,8,0.8463729766397703,0
196,56.39519371566201,0,0.0,5,0.653324839064459,1
197,1.9805099357804385,0,0.0,10,0.9321328383921927,0
198,66.5177558848826,0,0.0,10,0.9234043371362275,1
199,1.5364273826496673,0,0.0,10,0.814231882293772,0
200,68.6515321496085,0,0.0,4,0.9323955786441944,1
201,2.0341411856799887,0,0.0,10,0.9459622656726836,0
202,2.1218844677393505,0,0.0,10,0.9681034404178013,0
203,1.3962250534628695,0,0.0,8,0.8842626557272817,0
204,68.61852577907247,0,0.0,2,0.919797541865097,1
205,65.05098976711147,0,0.0,9,0.8878474489516271,1
206,61.17694132065056,0,0.0,10,0.812284422465338,1
207,1.037884380361624,0,0.0,7,0.8204795368404336,0
208,62.7649550275704,0,0.0,3,0.79527961840871,1
209,70.681611387616,0,0.0,9,0.9987099576866415,1
210,1.2476652420096321,0,0.0,6,0.9989504105242847,0
211,70.39531552200032,0,0.0,10,0.9980000451638179,1
212,66.28436899913132,0,0.0,3,0.875579379933313,1
213,64.51390160709997,0,0.0,9,0.876700867997398,1
214,68.79253476749419,0,0.0,9,0.9626126620696044,1
215,0.08644001784602251,0,0.0,6,0.653083712620327,0
216,0.537542907002771,0,0.0,6,0.6494087500477733,0
217,62.89029190764194,0,0.0,8,0.8353190800801017,1
218,69.56676545004301,0,0.0,5,0.9567400584301556,1
219,67.53958935526848,0,0.0,4,0.9090841970408106,1
220,65.56127768441743,0,0.0,2,0.8525261376588181,1
221,67.9494539640266,0,0.0,7,0.9351607063836185,1
222,61.653060184068785,0,0.0,5,0.7849622903782641,1
223,1.4757706658307188,0,0.0,9,0.8483354003220797,0
224,59.31452387640835,0,0.0,2,0.7003821304193475,1
225,69.67984895109092,0,0.0,5,0.9590001843611222,1
226,58.77692575465395,0,0.0,7,0.7332367748972751,1
227,1.3038811847850549,0,0.0,10,0.7487255606036339,0
228,0.7731259796737628,0,0.0,6,0.7742858962226514,0
229,61.61771921358511,0,0.0,2,0.7591511089421918,1
230,64.34100180763639,0,0.0,8,0.8666526327696746,1
231,66.14023337497,0,0.0,8,0.904152156632007,1
232,66.2472114636059,0,0.0,9,0.9122491590521433,1
233,1.8077970816943072,0,0.0,10,0.8874960260849724,0
234,2.086375902506419,0,0.0,10,0.9587057108226307,0
235,58.31156909943567,0,0.0,10,0.747717493830766,1
236,1.2016087035532483,0,0.0,10,0.7204896062668925,0
237,60.825125740456485,0,0.0,7,0.7816927657225516,1
238,1.5135654272269634,0,0.0,10,0.8085255342973541,0
239,68.98993740167386,0,0.0,6,0.9505709070453793,1
240,57.464788835801784,0,0.0,7,0.7009088231271813,1
241,55.58434616320049,0,0.0,9,0.6726322137372258,1
242,70.0682181512557,0,0.0,4,0.9614034708128968,1
243,60.250671072030855,0,0.0,8,0.7763766023391037,1
244,63.273086077602855,0,0.0,6,0.8297222851558391,1
245,68.01969008354305,0,0.0,5,0.9251348897231568,1
246,67.3533059974896,0,0.0,6,0.9172433082740069,1
247,69.59474499297707,0,0.0,8,0.9730050252729135,1
248,2.1358997572441134,0,0.0,10,0.9700777929478912,0
249,62.98197548533362,0,0.0,5,0.8158050849610672,1
250,1.7448637703111955,0,0.0,10,0.8700088214973742,0
251,58.03846270961017,0,0.0,6,0.7058446554376268,1
252,61.461189408111586,0,0.0,8,0.8038585836709887,1
253,61.52862687354693,0,0.0,6,0.7900924125705917,1
254,62.75556414001461,0,0.0,4,0.8029449726126769,1
255,61.76013869189273,0,0.0,8,0.8104952050056715,1
256,66.47104023388508,0,0.0,6,0.8988768254418258,1
257,60.515546859135405,0,0.0,6,0.7663560955413318,1
