episode,rewards,q_values,td_errors,path_lengths,fidelities,success
0,1.5084574122092962,0,0.0,10,0.8907636009303188,0
1,1.254461010264536,0,0.0,10,0.8322546937900769,0
2,2.012876556166497,0,0.0,10,0.9405566040718759,0
3,0.8032134786619717,0,0.0,7,0.8589980478727284,0
4,0.9292836829436816,0,0.0,7,0.8995401218316347,0
5,1.666492580233791,0,0.0,10,0.8501158160569907,0
6,1.3694325909368645,0,0.0,10,0.7685741050058958,0
7,0.8305711624598362,0,0.0,8,0.8124381831662928,0
8,2.145725331766978,0,0.0,10,0.9740509806788704,0
9,1.9276713965822463,0,0.0,10,0.918736346559112,0
10,2.053625521612861,0,0.0,10,0.9506082596768012,0
11,70.92869568308073,0,0.0,7,0.9938341206556031,1
12,1.680989343995181,0,0.0,10,0.8540352843128407,0
13,-0.14356795245150478,0,0.0,2,0.8564320475484952,0
14,0.14834000534655228,0,0.0,4,0.8105184497614436,0
15,2.1167893724161857,0,0.0,10,0.9668292530579851,0
16,0.13029705707944067,0,0.0,4,0.8005313293490184,0
17,1.583053947603088,0,0.0,10,0.827269447495395,0
18,1.7547896375154655,0,0.0,10,0.8698276814288759,0
19,1.0576016439061457,0,0.0,8,0.8766862203962678,0
20,1.9272189057856361,0,0.0,10,0.9178931435814912,0
21,1.2007389695106843,0,0.0,8,0.9177994933214617,0
22,1.5041138078349128,0,0.0,10,0.8042677962128283,0
23,1.5652854417684066,0,0.0,8,0.940455121484486,0
24,0.35510761815168085,0,0.0,4,0.9229819417749403,0
25,1.5366995563891401,0,0.0,10,0.8149782786135614,0
26,0.2995994381195337,0,0.0,4,0.8931232939398506,0
27,0.573184217509665,0,0.0,5,0.7456415546554118,0
28,1.9835020289952894,0,0.0,10,0.9329449536289433,0
29,2.089246566164525,0,0.0,10,0.9594490845232888,0
30,1.9909266875533755,0,0.0,10,0.9349282913053993,0
31,1.3456919166243886,0,0.0,10,0.7616234573667233,0
32,1.7076183259388822,0,0.0,10,0.8611274824734247,0
33,1.5547189766246796,0,0.0,10,0.819275790518949,0
34,1.3776578460625184,0,0.0,10,0.770698711022486,0
35,1.4399938188004928,0,0.0,10,0.7875850284605963,0
36,1.5517143760200487,0,0.0,10,0.8189432679219368,0
37,1.0931658230028796,0,0.0,9,0.8364855080182533,0
38,1.7072636515363224,0,0.0,10,0.8606151541609749,0
39,0.017814317796946533,0,0.0,3,0.8377710760502707,0
40,-0.10778503108150128,0,0.0,2,0.8922149689184987,0
41,0.0400182356988793,0,0.0,3,0.853473049222746,0
42,1.9770158092120915,0,0.0,10,0.9309115474263332,0
43,1.6917236275863194,0,0.0,10,0.8562828653466302,0
44,1.5574239672174348,0,0.0,10,0.8205901740387368,0
45,1.8452664460739034,0,0.0,10,0.8972095022025857,0
46,0.7825698212962187,0,0.0,7,0.852074562278311,0
47,71.07449702055916,0,0.0,3,0.9764790855579937,1
48,-0.1231858734910698,0,0.0,2,0.8768141265089302,0
49,1.7958096697965038,0,0.0,10,0.8843963117881197,0
50,1.26498082753117,0,0.0,9,0.8800505117894162,0
51,70.61212808388801,0,0.0,3,0.9671033064911542,1
52,2.2108760500784745,0,0.0,10,0.9893827302170675,0
53,0.7757212735558038,0,0.0,6,0.9179881159146358,0
54,0.09521393720184057,0,0.0,3,0.8923348003740827,0
55,1.9089844830495355,0,0.0,10,0.9137030508909413,0
56,1.2180020552399036,0,0.0,10,0.7252720015553199,0
57,0.13865366500869764,0,0.0,5,0.7287515846067574,0
58,1.9736601856733835,0,0.0,10,0.9303690222715661,0
59,0.028729343490573656,0,0.0,3,0.8454967777089232,0
60,0.09090881658029365,0,0.0,3,0.8892992406492594,0
61,-0.17166976981538629,0,0.0,2,0.8283302301846137,0
62,1.6676257452735437,0,0.0,10,0.8488232472031713,0
63,1.2896941504027275,0,0.0,10,0.8404639259566923,0
64,0.4596045306272437,0,0.0,4,0.7710849635353192,0
65,1.3793919308318308,0,0.0,10,0.7707686045033306,0
66,0.5533308800525851,0,0.0,6,0.8360282106195267,0
67,1.7351953756161482,0,0.0,10,0.866882185648689,0
68,1.4254332603168876,0,0.0,10,0.7842161923476195,0
69,-0.11710944339951146,0,0.0,2,0.8828905566004885,0
70,0.4930072048907893,0,0.0,9,0.6759401200378824,0
71,0.35003756341128006,0,0.0,4,0.9203087177958756,0
72,1.5108116758360521,0,0.0,10,0.8079257719610782,0
73,-0.06230774872656197,0,0.0,3,0.7807363348450022,0
74,1.9994406275981955,0,0.0,10,0.9356204451214731,0
75,1.2311021971666585,0,0.0,10,0.7290988294326008,0
76,1.8833675381750425,0,0.0,9,0.9673310170234578,0
77,0.21516495635302857,0,0.0,5,0.7637133575973879,0
78,0.8466958247466038,0,0.0,8,0.8170796574542533,0
79,1.6031891172663009,0,0.0,9,0.8864013928422003,0
80,1.0280976654399603,0,0.0,9,0.8196657922126928,0
81,1.6693725163023148,0,0.0,10,0.927064728202312,0
82,2.0353907050116318,0,0.0,10,0.9457946459487505,0
83,1.1223849118917346,0,0.0,8,0.8953533982764446,0
84,1.4533758180215877,0,0.0,10,0.7920444588334224,0
85,1.8358970974440019,0,0.0,10,0.8933273098796484,0
86,0.6182145392921772,0,0.0,6,0.8599216705618351,0
87,1.7473607507324156,0,0.0,10,0.871293441204413,0
88,1.759130304360864,0,0.0,10,0.8747563127945566,0
89,-0.1846071435640917,0,0.0,2,0.8153928564359083,0
90,70.83285108507336,0,0.0,3,0.971587845920676,1
91,1.7218260664419942,0,0.0,10,0.8647382282357289,0
92,0.30977705612592693,0,0.0,4,0.8986442386396044,0
93,2.0206919029948978,0,0.0,10,0.9407086659143626,0
94,0.4478431239500771,0,0.0,5,0.8688337493246584,0
95,-0.15935142298231286,0,0.0,2,0.8406485770176871,0
96,0.10566674715336327,0,0.0,4,0.7868605394918796,0
97,1.6338148568901432,0,0.0,10,0.8407820261508007,0
98,1.5453633070594908,0,0.0,9,0.8691982741546029,0
99,1.8077541824255352,0,0.0,10,0.887158181997142,0
100,0.492021535485352,0,0.0,5,0.8883984439407305,0
101,1.1522037029184977,0,0.0,9,0.8516583838655396,0
102,1.9708501687284308,0,0.0,10,0.9280030048155682,0
103,1.602217853739719,0,0.0,10,0.8328476174534871,0
104,1.3780413123715094,0,0.0,10,0.7710453707741576,0
105,1.5200620265980607,0,0.0,10,0.8103384278643058,0
106,70.53598351722503,0,0.0,6,0.9812452888114197,1
107,-0.15433046883445845,0,0.0,2,0.8456695311655416,0
108,1.7444431573294978,0,0.0,10,0.8677138720064788,0
109,0.27898422563260683,0,0.0,7,0.6827525865564892,0
110,2.0281351011289956,0,0.0,10,0.9443623320636086,0
111,0.10233343282650248,0,0.0,3,0.8973285553497306,0
112,1.8954949356095603,0,0.0,10,0.9103800863370475,0
113,2.061223866874739,0,0.0,10,0.9528243592259971,0
114,1.3900162103498634,0,0.0,10,0.7740596372410335,0
115,2.1238654923554625,0,0.0,10,0.9686000883677482,0
116,0.3189783877761002,0,0.0,4,0.903606791216605,0
117,-0.08585407478835977,0,0.0,3,0.7638597177381861,0
118,72.44787286571098,0,0.0,2,0.9989570221931372,1
119,2.1092487809677287,0,0.0,10,0.964929948854747,0
120,70.45566737463388,0,0.0,4,0.9692812593566146,1
121,1.9202218123800772,0,0.0,10,0.9167954145383851,0
122,2.1529246346302857,0,0.0,10,0.9757662644626397,0
123,0.4185247580931363,0,0.0,7,0.7309584110568551,0
124,2.2452356305317873,0,0.0,10,0.9987636772229953,0
125,1.7122555536635835,0,0.0,10,0.8600254902282819,0
126,0.8045897591666824,0,0.0,10,0.7241318830831731,0
127,1.3148513095074978,0,0.0,10,0.7531648900316021,0
128,1.1573721394489858,0,0.0,10,0.7076393908968308,0
129,1.8250785199343393,0,0.0,10,0.8915741808025066,0
130,1.2712046376025035,0,0.0,9,0.881927094291441,0
131,1.023155647735007,0,0.0,7,0.9289063347033285,0
132,2.080450623588951,0,0.0,10,0.9559358241517274,0
133,1.9241854006615215,0,0.0,10,0.9177622616324975,0
134,0.12898119801127161,0,0.0,3,0.9155327694109409,0
135,1.4656240676039873,0,0.0,10,0.7954709753290662,0
136,1.1745185732672683,0,0.0,10,0.7120328840742076,0
137,0.7035648422041093,0,0.0,6,0.8922265666430628,0
138,70.55419278003389,0,0.0,9,0.9962692349482318,1
139,2.2446816388909374,0,0.0,10,0.9977556845488249,0
140,1.6142418942866053,0,0.0,10,0.8354800549230794,0
141,1.5657661216480405,0,0.0,10,0.8212622704906319,0
142,0.9954561470973684,0,0.0,10,0.6593141012818257,0
143,1.2052518455275756,0,0.0,10,0.7209299023879447,0
144,1.9322886753658801,0,0.0,10,0.919829845171813,0
145,1.3913210650607915,0,0.0,9,0.9119756897405702,0
146,0.7128021477282435,0,0.0,8,0.7778779346799329,0
147,1.2354461598265583,0,0.0,10,0.7300996796039507,0
148,1.150150268551069,0,0.0,8,0.799067522447402,0
149,1.912221281014037,0,0.0,9,0.9752953033712212,0
150,0.15288165125819647,0,0.0,4,0.8130272688840227,0
151,1.3575181886132555,0,0.0,10,0.7649809310925151,0
152,1.331988313661794,0,0.0,10,0.7578918764817483,0
153,69.59975671372815,0,0.0,8,0.9731348311908083,1
154,-0.20559547631032848,0,0.0,2,0.7944045236896715,0
155,1.5513747493700765,0,0.0,10,0.8189970152273061,0
156,2.2455801676592033,0,0.0,10,0.9987103875443637,0
157,0.21818238230588882,0,0.0,5,0.7654542768482174,0
158,2.004041510711505,0,0.0,10,0.936919219325461,0
159,0.7728597429433343,0,0.0,7,0.8491436775320068,0
160,1.4169127333276532,0,0.0,10,0.7818603147895827,0
161,0.8777080239334754,0,0.0,7,0.75365766777964,0
162,1.0894454721269289,0,0.0,8,0.8866481757217637,0
163,1.200728201370071,0,0.0,9,0.7631833747772465,0
164,0.9849646299522387,0,0.0,10,0.7683842732658622,0
165,1.02613318521119,0,0.0,10,0.6684179061483675,0
166,0.8009790769233539,0,0.0,6,0.9261048869791547,0
167,1.2998848206233535,0,0.0,10,0.7483384301130221,0
168,-0.270241914938552,0,0.0,2,0.729758085061448,0
169,0.5392562864106083,0,0.0,6,0.8305334689216795,0
170,70.2491524616704,0,0.0,10,0.9953091697889294,1
171,1.7576319327605825,0,0.0,10,0.8743097244060679,0
172,0.8539582678119844,0,0.0,6,0.8129922982134923,0
173,-0.15021131374063013,0,0.0,2,0.8497886862593699,0
174,0.596166135377327,0,0.0,6,0.8514677139760628,0
175,-0.07680477969437566,0,0.0,3,0.7694607607452504,0
176,0.6772087178909451,0,0.0,10,0.6926106835799863,0
177,2.1104568550341725,0,0.0,10,0.9647337479574126,0
178,0.17902352828589202,0,0.0,6,0.6904860632516684,0
179,1.7251881608225506,0,0.0,10,0.8657486968642435,0
180,1.288294085899642,0,0.0,10,0.7452650711326986,0
181,1.608232128200326,0,0.0,10,0.8344807711089302,0
182,0.7499871215662126,0,0.0,5,0.8548930775015186,0
183,2.0860868419271794,0,0.0,10,0.9588769373997454,0
184,1.5308174757990811,0,0.0,10,0.8131750528478705,0
185,-0.218731536538201,0,0.0,2,0.781268463461799,0
186,-0.20875521067430491,0,0.0,2,0.7912447893256951,0
187,2.111927925992338,0,0.0,10,0.9654066800865079,0
188,2.1074251631708907,0,0.0,10,0.9642242962355282,0
189,1.4384311011430033,0,0.0,10,0.7864774418599064,0
190,68.53128675988985,0,0.0,8,0.9522566136175863,1
191,1.740028985162133,0,0.0,10,0.8690922305439468,0
192,1.032130987028867,0,0.0,10,0.779469282677727,0
193,1.4469510625893116,0,0.0,8,0.9012855367245939,0
194,1.0989142960259284,0,0.0,9,0.7305725391034764,0
195,1.7784385375039413,0,0.0,10,0.8793443094962325,0
196,1.5796541090114737,0,0.0,10,0.8262108674802136,0
197,-0.012188750836368722,0,0.0,3,0.8164811426999792,0
198,1.359208048891385,0,0.0,9,0.9039960292839266,0
199,1.6565222972712057,0,0.0,10,0.8453863903614003,0
200,0.8516005333387313,0,0.0,5,0.9115740204708577,0
201,1.8922866253599315,0,0.0,10,0.9085861743375415,0
202,2.212831085021044,0,0.0,10,0.9872001843574947,0
203,1.6121842145074399,0,0.0,10,0.8354311012715216,0
204,1.312115371318049,0,0.0,10,0.7523552104589446,0
205,1.0589951558844295,0,0.0,8,0.766351596966878,0
206,0.29524252682025764,0,0.0,6,0.7365971353380178,0
207,1.7011432049854296,0,0.0,10,0.8591713777702401,0
208,0.42701010247851157,0,0.0,6,0.7854586481362433,0
209,0.9805171080603499,0,0.0,8,0.7359450955605494,0
210,1.2145484973963803,0,0.0,10,0.7243116299151887,0
211,0.33266597568053113,0,0.0,5,0.8174694601166828,0
212,1.4673300383350936,0,0.0,10,0.7959527741122414,0
213,0.9417369980186244,0,0.0,7,0.9034823169477081,0
214,1.4985478749644,0,0.0,10,0.8003899573924853,0
215,1.0977313405002287,0,0.0,10,0.7952906356640665,0
216,0.438700236284681,0,0.0,6,0.7922578572844063,0
217,1.3779583464082952,0,0.0,10,0.7706729405663841,0
218,-0.11157007328580304,0,0.0,2,0.888429926714197,0
219,1.313417068838119,0,0.0,10,0.7525686108679535,0
220,1.4551275041834875,0,0.0,10,0.7908273788517594,0
221,2.0370150598565644,0,0.0,10,0.9466775094549081,0
222,70.46418176550748,0,0.0,8,0.9897811964360322,1
223,-0.1979225008228248,0,0.0,2,0.8020774991771752,0
224,1.616984932456594,0,0.0,10,0.8367256948425189,0
225,0.4533679021522816,0,0.0,7,0.7428620700723293,0
226,0.7332768565430986,0,0.0,6,0.903210920449337,0
227,1.8893336361571684,0,0.0,10,0.9087601108124532,0
228,68.29608361236704,0,0.0,9,0.9529605513238409,1
229,0.5896833070316759,0,0.0,9,0.7025719291592581,0
230,1.3833509592057474,0,0.0,10,0.772110761536877,0
231,1.9056974713815216,0,0.0,10,0.9123974232292802,0
232,1.7143292539725201,0,0.0,10,0.9364452930042039,0
233,0.8889402411356766,0,0.0,10,0.744672190878571,0
234,71.93901627173113,0,0.0,4,0.9988009976342375,1
235,1.4118143165733539,0,0.0,10,0.8685872937220999,0
236,72.19480767631332,0,0.0,3,0.9989055172233116,1
237,1.0242938084150632,0,0.0,10,0.6678702983730619,0
238,1.887977281799033,0,0.0,10,0.9084191300871858,0
239,1.4392623428035498,0,0.0,10,0.7881521857127616,0
240,1.5364524765202097,0,0.0,10,0.8149343694793744,0
241,2.244654417791631,0,0.0,10,0.9986218169639112,0
242,71.44643859481648,0,0.0,6,0.9989654410125979,1
243,0.13331688878986558,0,0.0,3,0.9190125564352166,0
244,0.9262838770538028,0,0.0,10,0.754038459577468,0
245,0.3515895154619968,0,0.0,6,0.7586325505910294,0
246,2.2124338082047257,0,0.0,10,0.9903982946111426,0
247,1.7985878338701053,0,0.0,10,0.8848722652977312,0
248,1.3235743665834554,0,0.0,10,0.7554250218482862,0
249,1.8442980324075178,0,0.0,10,0.8969496359662185,0
250,1.1965362063860543,0,0.0,9,0.8629311414774392,0
251,0.10985874449557553,0,0.0,4,0.7891892480263477,0
252,1.1700500733699764,0,0.0,9,0.7531104092286185,0
253,1.9424998414586407,0,0.0,10,0.9225202430168263,0
254,0.7623164491438313,0,0.0,7,0.8447945743282764,0
255,0.8603564541621385,0,0.0,9,0.775672357596338,0
256,71.44155891050463,0,0.0,6,0.99887077202164,1
257,72.19498644776414,0,0.0,3,0.9989090597892621,1
258,1.572000845964257,0,0.0,10,0.8241367072641544,0
259,0.6176777310290973,0,0.0,5,0.9427658590324131,0
260,1.5638114096814169,0,0.0,10,0.8217556977430985,0
261,1.6837451580576672,0,0.0,10,0.8546529574891712,0
262,0.5715716689230472,0,0.0,7,0.782736755233344,0
263,1.412040154901531,0,0.0,10,0.7801559179412519,0
264,1.9958137419615714,0,0.0,9,0.9985574131786181,0
265,1.8725706443310342,0,0.0,10,0.9040416738647252,0
